day	stream	len	count
20220228	orders	8	29221062
20220228	orders	9	57800660
20220228	trades	8	22343161
20220228	trades	9	49461870
20220228	xinqing	8	1983634
20220228	xinqing	9	10613884
20220301	orders	8	26214557
20220301	orders	9	60118073
20220301	trades	8	19120614
20220301	trades	9	52037528
20220301	xinqing	8	1915416
20220301	xinqing	9	10787488
20220302	orders	8	26771758
20220302	orders	9	57325511
20220302	trades	8	19426449
20220302	trades	9	49081717
20220302	xinqing	8	1931172
20220302	xinqing	9	10679982
20220303	orders	8	28162863
20220303	orders	9	62075761
20220303	trades	8	20771886
20220303	trades	9	54374504
20220303	xinqing	8	1938531
20220303	xinqing	9	10631765
20220304	orders	8	28396216
20220304	orders	9	62522063
20220304	trades	8	21436240
20220304	trades	9	55314577
20220304	xinqing	8	1944906
20220304	xinqing	9	10649195
20220307	orders	8	29556618
20220307	orders	9	62361284
20220307	trades	8	22811971
20220307	trades	9	55350571
20220307	xinqing	8	1951471
20220307	xinqing	9	10946894
20220308	orders	8	29023793
20220308	orders	9	68315801
20220308	trades	8	22612559
20220308	trades	9	61409434
20220308	xinqing	8	1940047
20220308	xinqing	9	11242242
20220309	orders	8	27117075
20220309	orders	9	79760092
20220309	trades	8	20482348
20220309	trades	9	71135492
20220309	xinqing	8	1916578
20220309	xinqing	9	11619302
20220310	orders	8	30630584
20220310	orders	9	64298171
20220310	trades	8	23465247
20220310	trades	9	55965563
20220310	xinqing	8	2010298
20220310	xinqing	9	10903599
20220311	orders	8	29268155
20220311	orders	9	68124143
20220311	trades	8	21982034
20220311	trades	9	58714715
20220311	xinqing	8	1961707
20220311	xinqing	9	11165894
20220314	orders	8	29944412
20220314	orders	9	65346028
20220314	trades	8	22887783
20220314	trades	9	57109272
20220314	xinqing	8	1943060
20220314	xinqing	9	10940302
20220315	orders	8	32355570
20220315	orders	9	75628274
20220315	trades	8	25867443
20220315	trades	9	67862999
20220315	xinqing	8	1969997
20220315	xinqing	9	11437462
20220316	orders	8	29221005
20220316	orders	9	78680710
20220316	trades	8	22711006
20220316	trades	9	69138590
20220316	xinqing	8	1992734
20220316	xinqing	9	11578819
20220317	orders	8	31083163
20220317	orders	9	72876570
20220317	trades	8	24636292
20220317	trades	9	63230811
20220317	xinqing	8	2000544
20220317	xinqing	9	11255407
20220318	orders	8	28030447
20220318	orders	9	64755558
20220318	trades	8	20792222
20220318	trades	9	55785080
20220318	xinqing	8	1918093
20220318	xinqing	9	10997834
20220321	orders	8	27763418
20220321	orders	9	66048747
20220321	trades	8	20718282
20220321	trades	9	57193105
20220321	xinqing	8	1937104
20220321	xinqing	9	11020188
20220322	orders	8	28855237
20220322	orders	9	63832982
20220322	trades	8	21592440
20220322	trades	9	54971469
20220322	xinqing	8	1929661
20220322	xinqing	9	10947509
20220323	orders	8	27872787
20220323	orders	9	63501963
20220323	trades	8	20514693
20220323	trades	9	54501042
20220323	xinqing	8	1906408
20220323	xinqing	9	10901737
20220324	orders	8	28089534
20220324	orders	9	63289621
20220324	trades	8	20772779
20220324	trades	9	54331791
20220324	xinqing	8	1917041
20220324	xinqing	9	10811330
20220325	orders	8	27307101
20220325	orders	9	64338173
20220325	trades	8	20051639
20220325	trades	9	55909191
20220325	xinqing	8	1925531
20220325	xinqing	9	10993069
20220328	orders	8	29420058
20220328	orders	9	62091500
20220328	trades	8	22730311
20220328	trades	9	52786187
20220328	xinqing	8	1975380
20220328	xinqing	9	10877932
20220329	orders	8	26503548
20220329	orders	9	62079005
20220329	trades	8	19690256
20220329	trades	9	53934902
20220329	xinqing	8	1894285
20220329	xinqing	9	10847083
20220330	orders	8	28135800
20220330	orders	9	63848064
20220330	trades	8	21168870
20220330	trades	9	54939068
20220330	xinqing	8	1922083
20220330	xinqing	9	10881883
20220331	orders	8	28867934
20220331	orders	9	68944943
20220331	trades	8	21805883
20220331	trades	9	60138572
20220331	xinqing	8	1929459
20220331	xinqing	9	11045641
20220401	orders	8	28871082
20220401	orders	9	66479415
20220401	trades	8	21543848
20220401	trades	9	57534425
20220401	xinqing	8	1940801
20220401	xinqing	9	10960738
20220406	orders	8	31340846
20220406	orders	9	68980213
20220406	trades	8	24304877
20220406	trades	9	60564963
20220406	xinqing	8	1985029
20220406	xinqing	9	11061231
20220407	orders	8	28367745
20220407	orders	9	68922972
20220407	trades	8	21530514
20220407	trades	9	61818250
20220407	xinqing	8	1940302
20220407	xinqing	9	11162777
20220408	orders	8	28407094
20220408	orders	9	70991706
20220408	trades	8	21855345
20220408	trades	9	60360220
20220408	xinqing	8	1931467
20220408	xinqing	9	11067588
20220411	orders	8	30351571
20220411	orders	9	69445474
20220411	trades	8	23948039
20220411	trades	9	62796283
20220411	xinqing	8	1942326
20220411	xinqing	9	11106562
20220412	orders	8	28953584
20220412	orders	9	69878815
20220412	trades	8	22611480
20220412	trades	9	61532306
20220412	xinqing	8	1924008
20220412	xinqing	9	11070846
20220413	orders	8	28769288
20220413	orders	9	66966512
20220413	trades	8	22084697
20220413	trades	9	58615061
20220413	xinqing	8	1940726
20220413	xinqing	9	10866689
20220414	orders	8	26738643
20220414	orders	9	64984307
20220414	trades	8	20496602
20220414	trades	9	56663067
20220414	xinqing	8	1898973
20220414	xinqing	9	10855935
20220415	orders	8	28708718
20220415	orders	9	69332056
20220415	trades	8	22283286
20220415	trades	9	60969924
20220415	xinqing	8	1930060
20220415	xinqing	9	11025696
20220418	orders	8	29032391
20220418	orders	9	61529654
20220418	trades	8	22654970
20220418	trades	9	53469961
20220418	xinqing	8	1932644
20220418	xinqing	9	10733901
20220419	orders	8	27550621
20220419	orders	9	63027688
20220419	trades	8	20799389
20220419	trades	9	54524997
20220419	xinqing	8	1926549
20220419	xinqing	9	10773362
20220420	orders	8	26524369
20220420	orders	9	67875908
20220420	trades	8	20043860
20220420	trades	9	59527248
20220420	xinqing	8	1938508
20220420	xinqing	9	11073818
20220421	orders	8	27520578
20220421	orders	9	74730803
20220421	trades	8	20830634
20220421	trades	9	66531377
20220421	xinqing	8	1932931
20220421	xinqing	9	11446866
20220422	orders	8	28676505
20220422	orders	9	63563173
20220422	trades	8	22487734
20220422	trades	9	54702611
20220422	xinqing	8	1975644
20220422	xinqing	9	11057432
20220425	orders	8	31111115
20220425	orders	9	73260796
20220425	trades	8	24982117
20220425	trades	9	66273959
20220425	xinqing	8	2000746
20220425	xinqing	9	11382196
20220426	orders	8	29655639
20220426	orders	9	71452193
20220426	trades	8	23789752
20220426	trades	9	63333514
20220426	xinqing	8	1981824
20220426	xinqing	9	11223900
20220427	orders	8	28862524
20220427	orders	9	74787186
20220427	trades	8	22861033
20220427	trades	9	66175385
20220427	xinqing	8	1988579
20220427	xinqing	9	11383369
